route_id,service_id,trip_id,shape_id
0,1,0_6_0,0
0,1,0_6_10,0
0,1,0_6_20,0
0,1,0_6_30,0
0,1,0_6_40,0
0,1,0_6_50,0
0,1,0_7_0,0
0,1,0_7_10,0
0,1,0_7_20,0
0,1,0_7_30,0
0,1,0_7_40,0
0,1,0_7_50,0
0,1,0_8_0,0
0,1,0_8_10,0
0,1,0_8_20,0
0,1,0_8_30,0
0,1,0_8_40,0
0,1,0_8_50,0
0,1,0_9_0,0
0,1,0_9_10,0
0,1,0_9_20,0
0,1,0_9_30,0
0,1,0_9_40,0
0,1,0_9_50,0
0,1,0_10_0,0
0,1,0_10_10,0
0,1,0_10_20,0
0,1,0_10_30,0
0,1,0_10_40,0
0,1,0_10_50,0
0,1,0_11_0,0
0,1,0_11_10,0
0,1,0_11_20,0
0,1,0_11_30,0
0,1,0_11_40,0
0,1,0_11_50,0
0,1,0_12_0,0
0,1,0_12_10,0
0,1,0_12_20,0
0,1,0_12_30,0
0,1,0_12_40,0
0,1,0_12_50,0
0,1,0_13_0,0
0,1,0_13_20,0
0,1,0_13_30,0
0,1,0_13_40,0
0,1,0_13_50,0
0,1,0_14_0,0
0,1,0_14_10,0
0,1,0_14_20,0
0,1,0_14_30,0
0,1,0_14_40,0
0,1,0_14_50,0
0,1,0_15_0,0
0,1,0_15_10,0
0,1,0_15_20,0
0,1,0_15_30,0
0,1,0_15_40,0
0,1,0_15_50,0
0,1,0_16_0,0
0,1,0_16_10,0
0,1,0_16_20,0
0,1,0_16_30,0
0,1,0_16_40,0
0,1,0_16_50,0
0,1,0_17_0,0
0,1,0_17_10,0
0,1,0_17_20,0
0,1,0_17_30,0
0,1,0_17_40,0
0,1,0_17_50,0
0,1,0_18_0,0
0,1,0_18_10,0
0,1,0_18_20,0
0,1,0_18_30,0
0,1,0_18_40,0
0,1,0_18_50,0
0,1,0_19_0,0
0,1,0_19_10,0
0,1,0_19_20,0
0,1,0_19_30,0
0,1,0_19_40,0
0,1,0_19_50,0
0,1,0_20_0,0
0,1,0_20_10,0
0,1,0_20_20,0
0,1,0_20_30,0
0,1,0_20_40,0
0,1,0_20_50,0
0,1,0_21_0,0
0,1,0_21_10,0
0,1,0_21_20,0
0,1,0_21_30,0
0,1,0_21_50,0
1,1,1_6_0,1
1,1,1_6_10,1
1,1,1_6_20,1
1,1,1_6_30,1
1,1,1_6_40,1
1,1,1_6_50,1
1,1,1_7_0,1
1,1,1_7_10,1
1,1,1_7_20,1
1,1,1_7_30,1
1,1,1_7_40,1
1,1,1_7_50,1
1,1,1_8_0,1
1,1,1_8_10,1
1,1,1_8_20,1
1,1,1_8_30,1
1,1,1_8_40,1
1,1,1_8_50,1
1,1,1_9_0,1
1,1,1_9_10,1
1,1,1_9_20,1
1,1,1_9_30,1
1,1,1_9_40,1
1,1,1_9_50,1
1,1,1_10_0,1
1,1,1_10_10,1
1,1,1_10_20,1
1,1,1_10_30,1
1,1,1_10_40,1
1,1,1_10_50,1
1,1,1_11_0,1
1,1,1_11_10,1
1,1,1_11_20,1
1,1,1_11_30,1
1,1,1_11_40,1
1,1,1_11_50,1
1,1,1_12_0,1
1,1,1_12_10,1
1,1,1_12_20,1
1,1,1_12_30,1
1,1,1_12_40,1
1,1,1_12_50,1
1,1,1_13_0,1
1,1,1_13_20,1
1,1,1_13_30,1
1,1,1_13_40,1
1,1,1_13_50,1
1,1,1_14_0,1
1,1,1_14_10,1
1,1,1_14_20,1
1,1,1_14_30,1
1,1,1_14_40,1
1,1,1_14_50,1
1,1,1_15_0,1
1,1,1_15_10,1
1,1,1_15_20,1
1,1,1_15_30,1
1,1,1_15_40,1
1,1,1_15_50,1
1,1,1_16_0,1
1,1,1_16_10,1
1,1,1_16_20,1
1,1,1_16_30,1
1,1,1_16_40,1
1,1,1_16_50,1
1,1,1_17_0,1
1,1,1_17_10,1
1,1,1_17_20,1
1,1,1_17_30,1
1,1,1_17_40,1
1,1,1_17_50,1
1,1,1_18_0,1
1,1,1_18_10,1
1,1,1_18_20,1
1,1,1_18_30,1
1,1,1_18_40,1
1,1,1_18_50,1
1,1,1_19_0,1
1,1,1_19_10,1
1,1,1_19_20,1
1,1,1_19_30,1
1,1,1_19_40,1
1,1,1_19_50,1
1,1,1_20_0,1
1,1,1_20_10,1
1,1,1_20_20,1
1,1,1_20_30,1
1,1,1_20_40,1
1,1,1_20_50,1
1,1,1_21_0,1
1,1,1_21_10,1
1,1,1_21_20,1
1,1,1_21_30,1
